Log akses azwan (17-04-2015 07:58:59). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux
====================

[17-04-2015 10:30:53] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 10:41:26] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 10:44:47] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 01:50:05] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 01:52:37] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 01:52:59] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 01:55:44] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-04-2015 05:13:33] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 37.0, OS : linux.
[17-04-2015 05:39:00] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 37.0, OS : linux.
[17-04-2015 05:48:18] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 37.0, OS : linux.
[23-04-2015 09:36:29] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[23-04-2015 09:38:53] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[23-04-2015 09:39:52] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[23-04-2015 09:48:58] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[24-04-2015 08:43:31] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[25-04-2015 06:32:16] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[25-04-2015 06:33:21] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[25-04-2015 06:58:56] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[28-04-2015 01:21:56] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[28-04-2015 02:11:04] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
